"filename", "language", "Dart", "comment", "blank", "total"
"e:\flutter projects\eventsmanager\lib\core\class\api_error_handling_view.dart", "Dart", 153, 7, 25, 185
"e:\flutter projects\eventsmanager\lib\core\class\app_bindings.dart", "Dart", 37, 10, 7, 54
"e:\flutter projects\eventsmanager\lib\core\class\hide_nav_bar.dart", "Dart", 13, 0, 4, 17
"e:\flutter projects\eventsmanager\lib\core\class\image_service.dart", "Dart", 91, 4, 15, 110
"e:\flutter projects\eventsmanager\lib\core\class\notification_helper.dart", "Dart", 138, 19, 27, 184
"e:\flutter projects\eventsmanager\lib\core\constants\api_links.dart", "Dart", 13, 2, 1, 16
"e:\flutter projects\eventsmanager\lib\core\constants\app_colors.dart", "Dart", 26, 2, 5, 33
"e:\flutter projects\eventsmanager\lib\core\constants\app_image_asset.dart", "Dart", 23, 4, 2, 29
"e:\flutter projects\eventsmanager\lib\core\constants\apptheme.dart", "Dart", 44, 2, 3, 49
"e:\flutter projects\eventsmanager\lib\core\constants\egypt_governorates.dart", "Dart", 129, 27, 28, 184
"e:\flutter projects\eventsmanager\lib\core\constants\event_duration.dart", "Dart", 13, 0, 1, 14
"e:\flutter projects\eventsmanager\lib\core\constants\payment_method_list.dart", "Dart", 5, 0, 1, 6
"e:\flutter projects\eventsmanager\lib\core\extensions\form_auth_scroll.dart", "Dart", 30, 0, 3, 33
"e:\flutter projects\eventsmanager\lib\core\functions\check_internet.dart", "Dart", 11, 0, 2, 13
"e:\flutter projects\eventsmanager\lib\core\functions\dum.dart", "Dart", 0, 90, 10, 100
"e:\flutter projects\eventsmanager\lib\core\functions\show_message.dart", "Dart", 13, 0, 2, 15
"e:\flutter projects\eventsmanager\lib\core\localization\change_local.dart", "Dart", 29, 0, 5, 34
"e:\flutter projects\eventsmanager\lib\core\middleware\my_middleware.dart", "Dart", 26, 4, 9, 39
"e:\flutter projects\eventsmanager\lib\core\routing\routes.dart", "Dart", 141, 11, 14, 166
"e:\flutter projects\eventsmanager\lib\core\routing\routes_name.dart", "Dart", 30, 7, 6, 43
"e:\flutter projects\eventsmanager\lib\core\services\api\api_error_handler.dart", "Dart", 131, 12, 28, 171
"e:\flutter projects\eventsmanager\lib\core\services\api\api_exceptions.dart", "Dart", 110, 13, 19, 142
"e:\flutter projects\eventsmanager\lib\core\services\api\api_service.dart", "Dart", 390, 46, 78, 514
"e:\flutter projects\eventsmanager\lib\core\services\api\api_status.dart", "Dart", 27, 0, 4, 31
"e:\flutter projects\eventsmanager\lib\core\services\api\dio_client.dart", "Dart", 265, 42, 56, 363
"e:\flutter projects\eventsmanager\lib\core\services\fcm_service.dart", "Dart", 41, 0, 12, 53
"e:\flutter projects\eventsmanager\lib\core\services\shared_pref_service.dart", "Dart", 127, 28, 42, 197
"e:\flutter projects\eventsmanager\lib\core\utils\app_validator.dart", "Dart", 77, 5, 15, 97
"e:\flutter projects\eventsmanager\lib\core\utils\validation_types.dart", "Dart", 13, 0, 2, 15
"e:\flutter projects\eventsmanager\lib\features\auth\data\models\complete_profile_governate.dart", "Dart", 29, 0, 1, 30
"e:\flutter projects\eventsmanager\lib\features\auth\data\repo\auth_repo.dart", "Dart", 174, 11, 33, 218
"e:\flutter projects\eventsmanager\lib\features\auth\presentation\manager\checkEmail\check_email_binding.dart", "Dart", 8, 0, 3, 11
"e:\flutter projects\eventsmanager\lib\features\auth\presentation\manager\checkEmail\check_email_controller.dart", "Dart", 48, 2, 11, 61
"e:\flutter projects\eventsmanager\lib\features\auth\presentation\manager\completeProfile\complete_profile_binding.dart", "Dart", 8, 0, 3, 11
"e:\flutter projects\eventsmanager\lib\features\auth\presentation\manager\completeProfile\complete_profile_controller.dart", "Dart", 63, 2, 17, 82
"e:\flutter projects\eventsmanager\lib\features\auth\presentation\manager\forgetPasswordVerifyCode\forget_password_verifycode_controller.dart", "Dart", 94, 4, 19, 117
"e:\flutter projects\eventsmanager\lib\features\auth\presentation\manager\forgetPasswordVerifyCode\forgetpassword_verifycode_binding.dart", "Dart", 8, 0, 3, 11
"e:\flutter projects\eventsmanager\lib\features\auth\presentation\manager\login\login_binding.dart", "Dart", 8, 0, 2, 10
"e:\flutter projects\eventsmanager\lib\features\auth\presentation\manager\login\login_controller.dart", "Dart", 67, 4, 12, 83
"e:\flutter projects\eventsmanager\lib\features\auth\presentation\manager\resetPassword\resetpassword_binding.dart", "Dart", 8, 0, 2, 10
"e:\flutter projects\eventsmanager\lib\features\auth\presentation\manager\resetPassword\resetpassword_controller.dart", "Dart", 63, 2, 11, 76
"e:\flutter projects\eventsmanager\lib\features\auth\presentation\manager\signupVerifyCode\signup_verify_code_binding.dart", "Dart", 8, 0, 3, 11
"e:\flutter projects\eventsmanager\lib\features\auth\presentation\manager\signupVerifyCode\signup_verify_code_controller.dart", "Dart", 102, 6, 21, 129
"e:\flutter projects\eventsmanager\lib\features\auth\presentation\manager\signup\signup_binding.dart", "Dart", 8, 0, 3, 11
"e:\flutter projects\eventsmanager\lib\features\auth\presentation\manager\signup\signup_controller.dart", "Dart", 63, 0, 10, 73
"e:\flutter projects\eventsmanager\lib\features\auth\presentation\view\check_email_view.dart", "Dart", 81, 0, 3, 84
"e:\flutter projects\eventsmanager\lib\features\auth\presentation\view\complete_profile_view.dart", "Dart", 143, 6, 8, 157
"e:\flutter projects\eventsmanager\lib\features\auth\presentation\view\forget_password_verify_code_view.dart", "Dart", 106, 0, 3, 109
"e:\flutter projects\eventsmanager\lib\features\auth\presentation\view\login_view.dart", "Dart", 133, 4, 7, 144
"e:\flutter projects\eventsmanager\lib\features\auth\presentation\view\reset_password_successful_view.dart", "Dart", 39, 0, 3, 42
"e:\flutter projects\eventsmanager\lib\features\auth\presentation\view\resetpassword_view.dart", "Dart", 101, 0, 4, 105
"e:\flutter projects\eventsmanager\lib\features\auth\presentation\view\sign_up_verify_code_view.dart", "Dart", 105, 0, 3, 108
"e:\flutter projects\eventsmanager\lib\features\auth\presentation\view\signup_view.dart", "Dart", 134, 2, 10, 146
"e:\flutter projects\eventsmanager\lib\features\auth\presentation\view\widgets\bottom_text_auth.dart", "Dart", 34, 0, 3, 37
